dataset	version	Common name	Scientific name	Class	species	common	file_species
sldorsalis_gene_ensembl	Sedor1	Yellowtail amberjack	Seriola lalandi dorsalis	Fish	Seriola_lalandi	Yellowtail_amberjack	Seriola_lalandi_dorsalis
sgrahami_gene_ensembl	SAMN03320097.WGS_v1.1	Golden-line barbel	Sinocyclocheilus grahami	Fish	Sinocyclocheilus_grahami	Golden_line_barbel	Sinocyclocheilus_grahami
saraneus_gene_ensembl	COMMON_SHREW1	Shrew	Sorex araneus	Mammal	Sorex_araneus	Shrew	Sorex_araneus
saurata_gene_ensembl	fSpaAur1.1	Gilthead seabream	Sparus aurata	Fish	Sparus_aurata	Gilthead_seabream	Sparus_aurata
spunctatus_gene_ensembl	ASM311381v1	Tuatara	Sphenodon punctatus	Reptile	Sphenodon_punctatus	Tuatara	Sphenodon_punctatus
spartitus_gene_ensembl	Stegastes_partitus-1.0.2	Bicolor damselfish	Stegastes partitus	Fish	Stegastes_partitus	Bicolor_damselfish	Stegastes_partitus
shabroptila_gene_ensembl	bStrHab1_v1.p	Kakapo	Strigops habroptila	Bird	Strigops_habroptila	Kakapo	Strigops_habroptila
scaustralis_gene_ensembl	ASM69896v1	African ostrich	Struthio camelus australis	Bird	Struthio_camelus	African_ostrich	Struthio_camelus_australis
sscrofa_gene_ensembl	Sscrofa11.1	Pig	Sus scrofa	Mammal	Sus_scrofa	Pig	Sus_scrofa
tguttata_gene_ensembl	bTaeGut1_v1.p	Zebra finch	Taeniopygia guttata	Bird	Taeniopygia_guttata	Zebra_finch	Taeniopygia_guttata
trubripes_gene_ensembl	fTakRub1.2	Fugu	Takifugu rubripes	Fish	Takifugu_rubripes	Fugu	Takifugu_rubripes
tctriunguis_gene_ensembl	T_m_triunguis-2.0	Three-toed box turtle	Terrapene carolina triunguis	Reptile	Terrapene_carolina	Three_toed_box_turtle	Terrapene_carolina_triunguis
tnigroviridis_gene_ensembl	TETRAODON8	Tetraodon	Tetraodon nigroviridis	Fish	Tetraodon_nigroviridis	Tetraodon	Tetraodon_nigroviridis
tbelangeri_gene_ensembl	TREESHREW	Tree Shrew	Tupaia belangeri	Mammal	Tupaia_belangeri	Tree_Shrew	Tupaia_belangeri
ttruncatus_gene_ensembl	turTru1	Dolphin	Tursiops truncatus	Mammal	Tursiops_truncatus	Dolphin	Tursiops_truncatus
uparryii_gene_ensembl	ASM342692v1	Arctic ground squirrel	Urocitellus parryii	Mammal	Urocitellus_parryii	Arctic_ground_squirrel	Urocitellus_parryii
uamericanus_gene_ensembl	ASM334442v1	American black bear	Ursus americanus	Mammal	Ursus_americanus	American_black_bear	Ursus_americanus
umaritimus_gene_ensembl	UrsMar_1.0	Polar bear	Ursus maritimus	Mammal	Ursus_maritimus	Polar_bear	Ursus_maritimus
vpacos_gene_ensembl	vicPac1	Alpaca	Vicugna pacos	Mammal	Vicugna_pacos	Alpaca	Vicugna_pacos
vursinus_gene_ensembl	bare-nosed_wombat_genome_assembly	Common wombat	Vombatus ursinus	Mammal	Vombatus_ursinus	Common_wombat	Vombatus_ursinus
vvulpes_gene_ensembl	VulVul2.2	Red fox	Vulpes vulpes	Mammal	Vulpes_vulpes	Red_fox	Vulpes_vulpes
xtropicalis_gene_ensembl	Xenopus_tropicalis_v9.1	Tropical clawed frog	Xenopus tropicalis	Amphibian	Xenopus_tropicalis	Tropical_clawed_frog	Xenopus_tropicalis
xmaculatus_gene_ensembl	X_maculatus-5.0-male	Platyfish	Xiphophorus maculatus	Fish	Xiphophorus_maculatus	Platyfish	Xiphophorus_maculatus
